0	902
1	496
2	324
3	282
4	214
5	195
6	137
7	86
8	97
9	94
10	97
11	74
12	61
13	53
14	64
15	64
16	51
17	42
18	67
19	40
20	27
21	39
22	27
23	31
24	22
25	30
26	22
27	16
28	20
29	46
30	21
31	10
32	25
33	5
34	15
35	8
36	10
37	7
38	8
39	10
40	0
41	5
42	5
43	1
44	2
45	5
46	4
47	4
48	1
49	1
50	1
51	1
52	5
53	1
54	0
55	1
56	2
57	1
58	2
59	5
60	3
61	1
62	4
63	3
64	1
65	1
66	1
67	1
68	0
69	0
70	1
71	2
72	2
73	1
74	3
75	0
76	0
77	0
78	1
79	1
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	1
90	0
91	0
92	0
93	0
94	0
95	1
96	0
97	0
98	0
99	1
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	1
