0	131	39
1	89	39
2	0	0
3	0	0
4	12	5
5	38	27
6	6	1
7	15	7
8	17	8
9	0	0
10	0	0
11	0	0
12	1	1
13	0	0
14	31	22
15	53	41
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	35	20
23	0	0
24	7	3
25	8	8
26	2	2
27	2	2
28	29	23
29	15	13
30	0	0
31	1	1
32	2	1
33	0	0
34	0	0
35	13	12
36	4	2
37	0	0
38	0	0
39	16	9
40	0	0
41	0	0
42	3	1
43	0	0
44	23	18
45	9	4
46	4	3
47	26	24
48	0	0
49	3	2
50	7	7
51	4	1
52	1	1
53	0	0
54	0	0
55	0	0
56	20	14
57	28	19
58	12	5
59	9	5
60	0	0
61	22	12
62	7	4
63	1	1
64	0	0
65	4	3
66	0	0
67	0	0
68	4	4
69	1	1
70	14	6
71	17	10
72	35	26
73	0	0
74	0	0
75	0	0
76	0	0
77	23	15
78	0	0
79	1	1
80	4	2
81	0	0
82	25	19
83	0	0
84	0	0
85	0	0
86	0	0
87	2	1
88	33	24
89	0	0
90	0	0
91	1	1
92	21	17
93	10	9
94	36	25
95	0	0
96	24	12
97	10	10
98	0	0
99	8	8
100	1	1
101	6	6
102	0	0
103	1	1
104	34	23
105	0	0
106	0	0
107	0	0
108	0	0
109	3	1
110	0	0
111	0	0
112	22	14
113	21	11
114	0	0
115	3	2
116	25	21
117	3	1
118	2	1
119	0	0
120	33	23
121	0	0
122	1	1
123	2	2
124	1	1
125	0	0
126	27	23
127	3	1
128	30	24
129	33	23
130	17	12
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	28	22
137	42	30
138	31	24
139	37	27
140	0	0
141	0	0
142	0	0
143	0	0
144	1	1
145	0	0
146	0	0
147	9	5
148	21	20
149	0	0
150	0	0
151	2	2
152	55	29
153	56	29
154	147	64
155	143	74
156	38	24
157	32	11
158	5	4
159	38	21
160	117	69
161	11	6
162	158	76
163	40	28
164	23	11
165	11	9
166	7	7
167	19	9
168	18	10
169	31	13
170	47	21
171	20	13
172	121	73
173	22	12
174	7	7
175	18	13
176	19	11
177	3	3
178	14	10
179	35	15
180	3	3
181	23	16
182	36	10
183	20	10
184	30	13
185	73	50
186	29	12
187	18	10
188	21	10
189	33	17
190	53	22
191	97	59
192	9	9
193	13	8
194	145	74
195	10	6
196	7	7
197	22	11
198	32	22
199	42	17
200	30	10
201	9	8
202	25	11
203	9	8
204	51	32
205	97	54
206	1	1
207	0	0
208	0	0
209	8	4
210	0	0
211	4	2
212	49	33
213	0	0
214	3	3
215	0	0
216	3	2
217	0	0
218	0	0
219	3	2
220	20	18
221	11	5
222	3	2
223	0	0
224	0	0
225	1	1
226	43	39
227	0	0
228	24	22
229	0	0
230	0	0
231	0	0
232	1	1
233	0	0
234	0	0
235	0	0
236	0	0
237	1	1
238	1	1
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	32	21
246	0	0
247	0	0
248	0	0
249	6	3
250	0	0
251	2	2
252	3	2
253	4	3
254	5	5
255	48	35
256	1	1
257	0	0
258	0	0
259	18	18
260	0	0
261	1	1
262	19	17
263	0	0
264	5	4
265	0	0
266	1	1
267	13	7
268	0	0
269	33	22
270	0	0
271	7	3
272	0	0
273	0	0
274	4	2
275	0	0
276	0	0
277	0	0
278	0	0
279	3	2
280	7	2
281	40	24
282	0	0
283	4	4
284	0	0
285	0	0
286	43	32
287	0	0
288	1	1
289	3	1
290	5	2
291	0	0
292	7	2
293	0	0
294	21	20
295	2	2
296	3	2
297	0	0
298	14	7
299	10	9
300	0	0
301	46	29
302	1	1
303	0	0
304	5	5
305	0	0
306	64	34
307	44	21
308	9	4
309	0	0
310	2	2
311	0	0
312	13	13
313	0	0
314	0	0
315	21	12
316	0	0
317	0	0
318	21	12
319	26	19
320	9	4
321	3	2
322	37	35
323	1	1
324	12	10
325	15	13
326	1	1
327	0	0
328	0	0
329	1	1
330	2	2
331	0	0
332	1	1
333	8	2
334	8	4
335	0	0
336	0	0
337	3	3
338	6	5
339	2	1
340	0	0
341	0	0
342	3	1
343	2	1
344	0	0
345	3	1
346	1	1
347	0	0
348	1	1
349	10	5
350	0	0
351	43	42
352	0	0
353	4	2
354	0	0
355	4	4
356	8	8
357	0	0
358	9	3
359	0	0
360	0	0
361	47	31
362	3	1
363	2	2
364	5	5
365	12	2
366	0	0
367	0	0
368	0	0
369	2	1
370	20	19
371	15	11
372	0	0
373	11	4
374	1	1
375	0	0
376	1	1
377	5	5
378	1	1
379	28	27
380	9	4
381	0	0
382	15	14
383	1	1
384	3	3
385	0	0
386	5	3
387	1	1
388	1	1
389	0	0
390	2	1
391	0	0
392	0	0
393	9	7
394	0	0
395	2	1
396	0	0
397	6	3
398	2	2
399	0	0
400	0	0
401	4	3
402	0	0
403	0	0
404	0	0
405	8	2
406	0	0
407	0	0
408	65	42
409	82	44
410	10	9
411	0	0
412	2	2
413	1	1
414	2	2
415	0	0
416	0	0
417	2	2
418	4	3
419	0	0
420	6	3
421	42	35
422	3	3
423	0	0
424	42	36
425	6	5
426	21	18
427	8	8
428	0	0
429	40	32
430	27	20
431	4	2
432	39	34
433	3	3
434	28	27
435	18	9
436	6	3
437	2	1
438	23	9
439	38	30
440	0	0
441	0	0
442	0	0
443	3	3
444	4	1
445	16	7
446	0	0
447	0	0
448	1	1
449	0	0
450	9	9
451	0	0
452	0	0
453	7	7
454	5	4
455	0	0
456	0	0
457	14	8
458	43	33
459	0	0
460	27	23
461	0	0
462	3	3
463	0	0
464	21	11
465	0	0
466	3	1
467	0	0
468	27	20
469	47	35
470	0	0
471	34	27
472	1	1
473	0	0
474	0	0
475	2	2
476	0	0
477	1	1
478	0	0
479	0	0
480	32	21
481	0	0
482	0	0
483	18	17
