Transaction ID;Required precision;Provided precision

a2d36e6f-1530-4793-a095-60f101a0bf21;0.0;-1.7976931348623157E308

140e4ee2-a24b-43ed-88ed-e1b650c616c6;0.0;-1.7976931348623157E308

38117352-6755-4124-9e8a-3ccf828b9b0d;0.0;-1.7976931348623157E308

56116a33-142b-4e1e-b7d4-a7954cc09e35;0.0;-1.7976931348623157E308

8a2a9ffa-20f5-4ceb-a601-c9986063d76f;0.0;-1.7976931348623157E308

d372597f-0e5e-41e4-8c01-ddeebd953d5e;0.0;-1.7976931348623157E308

50ee92e7-26da-4812-8516-117caba71388;0.0;-1.7976931348623157E308

03029d99-fbb5-4b98-9bcd-13d6f1b8c40a;0.0;-1.7976931348623157E308

3a5087fb-8df8-4bca-a870-e2bc2d667b7d;0.0;-1.7976931348623157E308

8fc2679b-31e8-490b-a043-62e30e80e887;0.0;-1.7976931348623157E308

42c54766-0397-4470-89f3-ad07e11d2bb7;0.0;-1.7976931348623157E308

b4de234d-db83-4265-9dc5-c2a35f72d8d7;0.0;-1.7976931348623157E308

656c2c57-d42e-4a4b-b618-f36f99559d47;0.0;-1.7976931348623157E308

68f50814-6557-4a74-a806-e0f22b7b15a9;0.0;-1.7976931348623157E308

024cbade-543b-44c8-a286-4649e60c4862;0.0;-1.7976931348623157E308

39498d57-b123-47ae-9de8-c15ba49410ea;0.0;-1.7976931348623157E308

e6bc12bc-58ea-4bf9-87f1-7cecc60eeb42;0.0;-1.7976931348623157E308

331ba474-5422-4795-8441-97548c8a73c0;0.0;-1.7976931348623157E308

5271f5e9-ca6f-4318-9c81-2170736d527d;0.0;-1.7976931348623157E308

ca4bb50a-36da-423b-af6c-74897ee3de60;0.0;-1.7976931348623157E308

ec7b927f-aab4-4352-84e2-9caa275e9d2a;0.0;-1.7976931348623157E308

c681ebd1-4cfb-49c7-87b7-a64c95776973;0.0;-1.7976931348623157E308

aa10f2ba-3ce6-454f-aa0a-5110f1f98cbb;0.0;-1.7976931348623157E308

10246f11-b840-4d8b-89d6-6f62abc59e1c;0.0;-1.7976931348623157E308

ee90ecd0-6af8-443e-a791-cb43ef389049;0.0;-1.7976931348623157E308

9a36cd1c-4761-472d-9278-d101f2ab6e68;0.0;-1.7976931348623157E308

f071da35-a41e-4ce1-9886-e36361c24df7;0.0;-1.7976931348623157E308

9bc7f618-be1e-4cd4-a240-9421ca7914d6;0.0;-1.7976931348623157E308

d86e2150-0b50-4dce-b95a-a6dd9ddf1f8d;0.0;-1.7976931348623157E308

f7a33da2-5a37-4436-91f0-31d7442ef56b;0.0;-1.7976931348623157E308

bfc685b9-b33b-4b3f-b832-77ea8b9a0872;0.0;-1.7976931348623157E308

6f6b8986-c815-48fe-8faa-31b52a737d0a;0.0;-1.7976931348623157E308

5dce9f9a-972a-44cb-b94e-5ad766483ed4;0.0;-1.7976931348623157E308

713414db-126e-432f-b9fd-24a0d11a48e3;0.0;-1.7976931348623157E308

cd53f6de-6e77-4b22-a539-a0c60fcf9cfb;0.0;-1.7976931348623157E308

1a03c060-f729-4ee9-8706-e24139db6f63;0.0;-1.7976931348623157E308

85c293b4-ba2a-4518-8659-7c14cb89d8b9;0.0;-1.7976931348623157E308

6730be31-0727-43e6-80bc-60dcf04168f6;0.0;-1.7976931348623157E308

006f58a2-e51a-4ad8-97fb-152e1e33bddd;0.0;-1.7976931348623157E308

694432aa-55b5-4beb-9458-85e75e43fee9;0.0;-1.7976931348623157E308

21026b36-fcc7-4f01-910d-c2026431d158;0.0;-1.7976931348623157E308

0652ec0e-a941-446d-841b-656857f68cb8;0.0;-1.7976931348623157E308

218c6c85-d0a6-44b5-ae61-0163181c1b43;0.0;-1.7976931348623157E308

9f6a07bc-6165-4349-a36c-47588d092487;0.0;-1.7976931348623157E308

040d2796-6580-4ccd-ad08-d1226c2a89e1;0.0;-1.7976931348623157E308

01e1dac1-12d2-4287-b0ab-409230d8c836;0.0;-1.7976931348623157E308

4ae854b4-42e2-471e-b6e9-e3c42eef45f9;0.0;-1.7976931348623157E308

c265abc9-f72c-4079-bc0b-4f2da0d02b66;0.0;-1.7976931348623157E308

baf9c156-3822-4966-ae1a-ce8927c3a31e;0.0;-1.7976931348623157E308

8d6f9fe6-9387-4a99-9cb3-6b5361e6cff2;0.0;-1.7976931348623157E308

8ba3ea6b-a722-42dc-8be4-521e41f9797c;0.0;-1.7976931348623157E308

bb6e3b04-8a18-4a23-b459-234c34c981f2;0.0;-1.7976931348623157E308

01cf9ad2-3dd1-41c3-9677-9b63fb3da342;0.0;-1.7976931348623157E308

e30104f6-82fe-49e1-8734-b9c1cd4af104;0.0;-1.7976931348623157E308

01a823b3-de9f-4276-b98e-531b14ac2825;0.0;-1.7976931348623157E308

0b893c53-2d93-4b4a-970f-b2ac6b9edb69;0.0;-1.7976931348623157E308

4f3f72f0-ebf0-405e-9ab3-8aafd1910ab2;0.0;-1.7976931348623157E308

74dc8a2f-80df-4c05-80f8-2fd0ea0c1311;0.0;-1.7976931348623157E308

0705872b-b8e5-46b0-ab27-55aa222e7183;0.0;-1.7976931348623157E308

33491192-9173-42df-b80c-79cb9478f060;0.0;-1.7976931348623157E308

85db8ed8-ce9b-4025-8a69-396bb1aa7d7f;0.0;-1.7976931348623157E308

741d6039-99cc-4cde-bab6-1941ad417be5;0.0;-1.7976931348623157E308

7252c2d3-6d41-4b9f-a1df-8af21234499f;0.0;-1.7976931348623157E308

e564f370-6425-4aad-8afb-ed78de19a5a5;0.0;-1.7976931348623157E308

7e5d923a-4cf1-4f28-94ea-9843a92ec839;0.0;-1.7976931348623157E308

9f461648-2c7d-4283-90f8-07c181d63459;0.0;-1.7976931348623157E308

2c878f81-81ff-4860-af7b-4bf892e47ce1;0.0;-1.7976931348623157E308

3c1fe477-c70e-4c4e-aa3b-c2ff62fee93f;0.0;-1.7976931348623157E308

7332bb2d-f677-44b1-91f1-cad1088d210b;0.0;-1.7976931348623157E308

1befa32b-caa7-482b-9885-2b251f6e1ef5;0.0;-1.7976931348623157E308

31e6d38c-52ee-42df-bf99-31b79e519fe2;0.0;-1.7976931348623157E308

ea61d0a0-d8a5-4c22-a136-161b8cdb9618;0.0;-1.7976931348623157E308

0cc3427b-99a3-43be-b8dc-29ad981cc831;0.0;-1.7976931348623157E308

fc260422-7c47-4070-85aa-4196a8af2bce;0.0;-1.7976931348623157E308

40693403-3800-47e3-987f-3dc4ff2af6a0;0.0;-1.7976931348623157E308

16e85ab8-7f23-4232-b5e1-13b4203068e3;0.0;-1.7976931348623157E308

3c686e72-269c-4c8d-832b-af68bb25375b;0.0;-1.7976931348623157E308

985fa9a1-2ba4-4cbd-8d95-68d025bc0417;0.0;-1.7976931348623157E308

3e9d5564-31aa-464c-aeea-b5f3ed65315b;0.0;-1.7976931348623157E308

98f81b02-7797-467f-b2b3-8c712e081217;0.0;-1.7976931348623157E308

0fc4bd5a-695a-42e0-94a0-ffc4e9d01abb;0.0;-1.7976931348623157E308

